cluster_id	scan_id	precursor_mz	precursor_charge	quality_score	confidence	ptm_flag	within_var	mean_similarity
41444	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "1015221"; PrecursorID: "0"; scans: "43199"	527.3323	3	0.9754	HIGH	False	0.0023	0.9977
38871	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "922452"; PrecursorID: "0"; scans: "11898"	413.6565	5	0.9753	HIGH	False	0.0023	0.9977
38871	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "986759"; PrecursorID: "0"; scans: "13101"	413.6568	5	0.9753	HIGH	False	0.0023	0.9977
9577	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "628164"; PrecursorID: "0"; scans: "45087"	774.7366	3	0.974	HIGH	False	0.0024	0.9976
9577	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "628172"; PrecursorID: "0"; scans: "45096"	774.4025	3	0.974	HIGH	False	0.0024	0.9976
45564	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "929373"; PrecursorID: "0"; scans: "19899"	539.8781	2	0.9734	HIGH	False	0.0025	0.9975
45564	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "994964"; PrecursorID: "0"; scans: "21778"	539.8786	2	0.9734	HIGH	False	0.0025	0.9975
36286	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "890593"; PrecursorID: "0"; scans: "46425"	833.9491	4	0.9731	HIGH	False	0.0025	0.9975
36286	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "1020384"; PrecursorID: "0"; scans: "48658"	833.9477	4	0.9731	HIGH	False	0.0025	0.9975
45552	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "996112"; PrecursorID: "0"; scans: "22984"	648.3444	2	0.9731	HIGH	False	0.0025	0.9975
45552	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "996122"; PrecursorID: "0"; scans: "22995"	648.3446	2	0.9731	HIGH	False	0.0025	0.9975
20356	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "746477"; PrecursorID: "0"; scans: "30426"	519.3010	2	0.9729	HIGH	False	0.0025	0.9975
20356	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "746489"; PrecursorID: "0"; scans: "30440"	519.3011	2	0.9729	HIGH	False	0.0025	0.9975
45561	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "829680"; PrecursorID: "0"; scans: "49888"	813.7931	3	0.9729	HIGH	False	0.0025	0.9975
45561	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "893036"; PrecursorID: "0"; scans: "49037"	813.7928	3	0.9729	HIGH	False	0.0025	0.9975
45558	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "926133"; PrecursorID: "0"; scans: "16162"	502.8243	2	0.9713	HIGH	False	0.0026	0.9974
45558	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "926135"; PrecursorID: "0"; scans: "16165"	502.8246	2	0.9713	HIGH	False	0.0026	0.9974
45559	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "736958"; PrecursorID: "0"; scans: "19997"	405.5775	3	0.9713	HIGH	False	0.0026	0.9974
45559	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "736971"; PrecursorID: "0"; scans: "20011"	405.5773	3	0.9713	HIGH	False	0.0026	0.9974
41557	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "949589"; PrecursorID: "0"; scans: "42159"	575.0258	3	0.9711	HIGH	False	0.0027	0.9973
41557	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "1016040"; PrecursorID: "0"; scans: "44057"	575.0254	3	0.9711	HIGH	False	0.0027	0.9973
45554	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "950295"; PrecursorID: "0"; scans: "42910"	704.4363	2	0.9711	HIGH	False	0.0027	0.9973
45554	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "1016687"; PrecursorID: "0"; scans: "44760"	704.4360	2	0.9711	HIGH	False	0.0027	0.9973
45553	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "595071"; PrecursorID: "0"; scans: "9677"	380.8628	3	0.9696	HIGH	False	0.0028	0.9972
45553	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_02.raw"; SpectrumID: "595093"; PrecursorID: "0"; scans: "9702"	380.8627	3	0.9696	HIGH	False	0.0028	0.9972
